test_suite,TC#,name,summary,preconditions,ad_types,steps,expected_results,test type,importance,status,execution_type
Ad Initialization,BSFN-11,the updated placement list,to verify the updated placement list,,all ad types,"1. initialize the app
 2. update the status of placements in Dashboard (active <-> inactive, auto-cacheable <-> non auto-cacheable)
 3. wait for 10 mins to apply the update in Dashboard
 4. close and reinitialize the app","placements status in /config response API payload is updated
 auto-cacheable ad is auto-cached 
 inactive placements are not listed
 cached ads are still playable",Functional,2,1,1
Load Ad,BSFN-12,all types of ad loading,to verify all types of ad loading,"auto-cacheable all ad types
 non auto-cacheable all ad types",all ad types,"1. initialize the app
 2. load ad and auto-cache
 3. observe /ads API call and asset downloading","all types of ads load successful by manual and auto-cache
 /ads API is called
 placement ID should be matched
 all listed assets must be stored",Basic,2,1,1
Load Ad,BSFN-13,the URLs of TPATs,to verify the URLs of TPATs,the multiple URLs in a TPAT,all ad types,"1. initialize the app
 2. load ad and auto-cache
 3. observe /ads response API payload","TPAT Urls are available in /ads response payload
 - percentage TPATs
 - mute/unmute TPATs
 - video_close TPAT
 - postroll_click TPAT
 - postroll_view TPAT",Basic,2,1,1
Load Ad,BSFN-14,asset list,to verify asset list,,all ad types,"1. initialize the app
 2. load ad and auto-cache
 3. observe /ads response API payload - assets","the correct URLs of all listed assets are called and the assets are loaded successfully 
 - post_bundle
 - video url
 - dynamic template contents",Basic,2,1,1
Load Ad,BSFN-15,cta_overlay (legacy only),to verify cta_overlay (legacy only),,Legacy,"1. initialize the app
 2. load ad and auto-cache
 3. observe /ads response API payload - cta_overlay","""enabled"", and ""click_area"" exist in ""cta_overlay""",Functional,2,1,1
Load Ad,BSFN-16,"""delay""","to verify ""delay""","set ""delay"" to 10/20 seconds in /ads response payload",all ad types,,the next ad loads with delay,Functional,2,1,1
Load Ad,BSFN-17,reload the ad after sleep timeout,to verify reload the ad after sleep timeout,sleep response,all ad types,,"- ad asset download in sleep
 - no callback for ad load
 - download after sleep timeout",Functional,2,1,1
Play Ad,BSFN-18,/will_play_ad API call,to verify /will_play_ad API call,,all ad types,"1. initialize the ad
 2. load each ad type
 3. play each ad type","SDK calls /will_play_ad as soon as the ad starts to play.
 exceptions by ad type and OS platform:
 iOS : MREC, FF, FV: no /will_play_ad API call is fired
 Android: FF, MREC : no /will_play_ad API call is fired",Basic,2,1,1
Play Ad,BSFN-19,load ad and play ad at the same time,to verify load ad and play ad at the same time,,all ad types,"1. initialize the ad
 2. load multiple ads
 3. while the ads are loading, play an ad
 4. close the ad
 5. play the loaded ads","ad loading continues while the ad plays
 the loaded ads are playable",Functional,2,1,1
Play Ad,BSFN-20,/report_ad after video is closed,to verify /report_ad after video is closed,,all ad types,"1. initialize the ad
 2. load each ad types
 3. play each ad type
 4. close the ad",/report_ad is called when the ad is closed,Basic,2,1,1
Play Ad,BSFN-21,the playback in airplane mode,to verify the playback in airplane mode,,all ad types,"1. initialize the ad
 2. load each ad types
 3. put the device in airplain mode
 3. play each ad type",ad playback must be done,Functional,2,1,1
Play ad - TPAT,BSFN-22,play_percentage TPATs,to verify play_percentage TPATs,single or an array of URLs in play_percentage TPAT,all ad types,"1. initialize the ad
 2. load each ad types
 3. play each ad type
 4. Observe play_percentage TPATs are called","all TPATs in the array of each play_percentage must be fired
 The play percentage of TPAT call matches to video play progress",Basic,2,1,1
Play ad - TPAT,BSFN-23,POSTROLL_VIEW,to verify POSTROLL_VIEW,single or an array of URLs in postroll.view TPAT,all ad types,"1. initialize the ad
 2. load each ad types
 3. play each ad type
 4. move to postroll view page (ex> endcard)","Single page ad: POSTROLL_VIEW is fired when the ad is played
 Multi Page Ad: POSTROLL_VIEW is fired when the ad moves to Endcard",Basic,2,1,1
Play ad - TPAT,BSFN-24,VIDEO_MUTE/VIDEO_UNMUTE,to verify VIDEO_MUTE/VIDEO_UNMUTE,"single or an array of URLs in video.mute TPAT
 single or an array of URLs in video.unmute TPAT",all ad types,"1. initialize the ad
 2. load each ad types
 3. play each ad type
 4. turn on / off the mute on video multiple times","video.mute TPAT must be fired when the mute is set ON
 video.unmute TPAT must be fired when the mute is set OFF",Basic,2,1,1
Play ad - TPAT,BSFN-25,VIDEO_CLOSE,to verify VIDEO_CLOSE,single or an array of URLs in video.close,all ad types,"1. initialize the ad
 2. load each ad types
 3. play each ad type
 4. close the video while it plays",video.close TPAT must be fired,Basic,2,1,1
Play ad - TPAT,BSFN-26,POSTROLL_CLICK on POSTROLL_VIEW,to verify POSTROLL_CLICK on POSTROLL_VIEW,single or an array of URLs in postroll.click TPAT,all ad types,"1. initialize the ad
 2. load each ad types
 3. play each ad type
 4. Click CTA button","- all TPATs in postroll.click must be fired
 - the ad is dismissed when it returns from appstore
 - MREC and FF continue displaying the ad when it returns from appstore",Basic,2,1,1
Play ad - TPAT,BSFN-27,POSTROLL_CLICK on Video playing - Legacy Ad,to verify POSTROLL_CLICK on Video playing - Legacy Ad,single or an array of URLs in postroll.click TPAT,legacy ad,"1. initialize the ad
 2. load each ad types
 3. play each ad type
 4. click the cta_overlay clickable area","- all TPATs in postroll.click must be fired at least one time
 - the video resumes when it returns",Basic,2,1,1
Play Ad - cta_overlay - legacy,BSFN-28,CTA overlay enabled true and click_area 0,CTA overlay enabled true and click_area 0,"""enabled"": true,
 ""click_area"": 0",legacy ad,"1. rewrite ""cta_overlay"" properties with 
 ""enabled"": true,
 ""click_area"": 0
 2. load the ad
 3. play the ad","- CTA button is not displayed
 - video screen is not clickable",Functional,2,1,1
Play Ad - cta_overlay - legacy,BSFN-29,CTA overlay enabled false and click_area 0,CTA overlay enabled false and click_area 0,"""enabled"": false,
 ""click_area"": 0",legacy ad,"1. rewrite ""cta_overlay"" properties with 
 ""enabled"": false,
 ""click_area"": 0
 2. load the ad
 3. play the ad","- CTA button is not displayed
 - video screen is not clickable",Functional,2,1,1
Play Ad - cta_overlay - legacy,BSFN-30,CTA overlay enabled true and click_area 1,CTA overlay enabled true and click_area 1,"""enabled"": true,
 ""click_area"": 1",legacy ad,"1. rewrite ""cta_overlay"" properties with 
 ""enabled"": true,
 ""click_area"": 1
 2. load the ad
 3. play the ad","- CTA button is displayed
 - video screen is clickable",Functional,2,1,1
Play Ad - cta_overlay - legacy,BSFN-31,CTA overlay enabled false and click_area 1,CTA overlay enabled false and click_area 1,"""enabled"": false,
 ""click_area"": 1",legacy ad,"1. rewrite ""cta_overlay"" properties with 
 ""enabled"": false,
 ""click_area"": 1
 2. load the ad
 3. play the ad","- CTA button is not displayed
 - video screen is clickable",Functional,2,1,1
Play Ad - cta_overlay - legacy,BSFN-32,CTA overlay Unused keys and values,CTA overlay Unused keys and values,"""show_onclick"": false,
 ""time_enabled"": 0,
 ""time_show"": 0,",legacy ad,1. load the ad,"""show_onclick"": false,
 ""time_enabled"": 0,
 ""time_show"": 0,
 should not be impact on CTA button existence and clickable area",Functional,2,1,1
Play Ad - cta_overlay click (pause and resume),BSFN-33,click the clickable area to pause and back to ad to resume the video,"click the clickable area to pause and back to ad to resume the video
 - between 0 ~ 0.25
 - between 0.25 ~ 0.5
 - between 0.5 ~ 0.75
 - between 0.75 ~ 1","""cta_overlay"": {""enabled"": true,
 ""click_area"": 1}",legacy ad,"1. load ad
 2. play ad
 3. observe the play percentage tpat
 4. click the clickable area to launch the CTA Url at each condition below
 - between 0 ~ 0.25
 - between 0.25 ~ 0.5
 - between 0.5 ~ 0.75
 - between 0.75 ~ 1
 5. return to the ad video","- it launches CTA url through storekit/app store successfully
 - the video resumes successfully when it returns to the ad page
 - TPAT must be fired successfully in order",Basic,2,1,1
Play Ad - cta_overlay click (pause and resume),BSFN-34,CTA Url with App ID launches through storekit,CTA Url with App ID launches through storekit,"""cta_overlay"": {""enabled"": true,
 ""click_area"": 1}
 CTA Url with app id",legacy ad,"1. load ad
 2. play ad
 3. click the clickable area to launch the CTA Url with App ID on StoreKit 
 4. return to the ad video","- it launches CTA url through storekit successfully
 - the video resumes successfully when it returns to the ad page
 - TPAT must be fired successfully in order",Functional,2,1,1
Play Ad - cta_overlay click (pause and resume),BSFN-35,CTA Url with App ID launches through storekit multiple times,CTA Url with App ID launches through storekit multiple times,"""cta_overlay"": {""enabled"": true,
 ""click_area"": 1}
 CTA Url with app id",legacy ad,"1. load ad
 2. play ad
 3. click the clickable area to launch the CTA Url with App ID on StoreKit 
 4. return to the ad video
 5. repeat step 3-4","- it launches CTA url through storekit successfully
 - the video resumes successfully when it returns to the ad page
 - TPAT must be fired successfully in order",Functional,2,1,1
Play Ad - cta_overlay click (pause and resume),BSFN-36,CTA Url without App ID launches through browser,CTA Url without App ID launches through browser,"""cta_overlay"": {""enabled"": true,
 ""click_area"": 1}
 CTA Url without app id",legacy ad,"1. load ad
 2. play ad
 3. click the clickable area to launch the CTA Url without App ID on browser
 4. return to the ad video","- it launches CTA url through browser successfully
 - the video resumes successfully when it returns to the ad page
 - TPAT must be fired successfully in order",Functional,2,1,1
Play Ad - cta_overlay click (pause and resume),BSFN-37,CTA Url without App ID launches through browser multiple times,CTA Url without App ID launches through browser multiple times,"""cta_overlay"": {""enabled"": true,
 ""click_area"": 1}
 CTA Url without app id",legacy ad,"1. load ad
 2. play ad
 3. click the clickable area to launch the CTA Url without App ID on browser
 4. return to the ad video
 5. repeat step 3-4","- it launches CTA url through browser successfully
 - the video resumes successfully when it returns to the ad page
 - TPAT must be fired successfully in order",Functional,2,1,1
Play Ad - cta_overlay click (pause and resume),BSFN-38,pause and resume on the ad without Endcard,to verify pause and resume on the ad without Endcard,"""cta_overlay"": {""enabled"": true,
 ""click_area"": 1}
 No Endcard",legacy ad,"1. load ad
 2. play ad
 3. click the clickable area to launch the CTA Url
 4. return to the ad video","- it launches CTA url through browser successfully
 - the video resumes successfully when it returns to the ad page
 - TPAT must be fired successfully in order",Boundary,2,1,1
Play Ad - cta_overlay click (pause and resume),BSFN-39,Bring the ad to foreground instead of returning to the ad by clicking button on AppStore - Video,Bring the ad to foreground instead of returning to the ad by clicking button on AppStore - Video,"""cta_overlay"": {""enabled"": true,
 ""click_area"": 1}
 CTA Url without app id",legacy ad,"1. load ad
 2. play ad
 3. click the clickable area to launch the CTA Url without App ID through Browser
 4. bring the ad in foreground",- The video resumes when the ad is launched in foreground,Boundary,2,1,1
Play Ad - cta_overlay click (pause and resume),BSFN-40,Kill browser during the video play is paused,Kill browser during the video play is paused,"""cta_overlay"": {""enabled"": true,
 ""click_area"": 1}",legacy ad,"1. load ad
 2. play ad
 3. click the clickable area to launch the CTA Url without app ID through browser
 4. kill the browser
 5. bring the ad in foreground",- The video resumes when the ad is launched in foreground,Negative,2,1,1
Play Ad - cta_overlay click (pause and resume),BSFN-41,Kill app store on EndCard,Kill app store on EndCard,"""cta_overlay"": {""enabled"": true,
 ""click_area"": 1}",legacy ad,"1. load ad
 2. play ad
 3. wait until it moves to EndCard
 4. click CTA button to launch the CTA Url through App Store
 5. Kill the app store",The ad is closed when the CTA button is clicked on EndCard,Negative,2,1,1
Play Ad - cta_overlay click (pause and resume),BSFN-42,pause and resume with no postbundle ad,to verify pause and resume with no postbundle ad,set Creatives without EndCard,legacy ad,"1. load the legacy ad without postbundle
 2. play ad
 3. click cta_overlay clickable area on video","CTA is clicked and opens storekit, appstore, browser
 Video resumes when it returns to ad playback page
 POSTROLL_CLICK TPAT is fired",Negative,2,1,1
Play Ad - cta_overlay click (pause and resume),BSFN-43,the contents of userActions and clickedThrough for cta_overlay,to verify the contents of userActions and clickedThrough for cta_overlay,"""cta_overlay"": {""enabled"": true,
 ""click_area"": 1}",legacy ad,"1. load ad
 2. play ad
 3. try multiple CTA clickable area click on video
 4. Close the ad
 5. Observe /report_ad","the same number of ""cta"" is included in ""userActions"" and ""clickedThrough""
 /report_ad request payload must have ""userAction"" information
 ""userAction"" and ""clickThrough"" must be matched",Basic,2,1,1
Play Ad - Mute/Unmute,BSFN-44,start video play on mute,to verify start video play on mute,set option as MUTE,all ad types,"1. load ad
 2. play ad",Ad video plays with Mute ON,Functional,2,1,1
Play Ad - Mute/Unmute,BSFN-45,start video play on unmute,to verify start video play on unmute,set option as UNMUTE,all ad types,"1. load ad
 2. play ad",Ad video plays with Mute OFF,Functional,2,1,1
Play Ad - Mute/Unmute,BSFN-46,the volume change on Mute state,to verify the volume change on Mute state,set option as MUTE,all ad types,"1. load ad
 2. play ad
 3. change the volume",Persist in Mute state,Functional,2,1,1
Play Ad - Orientation,BSFN-47,the video orientation in portrait view only,to verify the video orientation in portrait view only,set Orientation Lock to Portrait,all ad types,"1. load ad
 2. Play the ad
 3. toggle the orientation while the ad plays",- video displays in portrait view only,Functional,2,1,1
Play Ad - Orientation,BSFN-48,the video orientation in landscape view only,to verify the video orientation in landscape view only,set Orientation Lock to Landscape,all ad types,"1. load ad
 2. Play the ad
 3. toggle the orientation while the ad plays",- video displays in landscape view only,Functional,2,1,1
Play Ad - Orientation,BSFN-49,the video orientation in both,to verify the video orientation in both,"set Orientation Lock to Unknown
 set ""video orientation override"" to ""both"" in placement",all ad types,"1. load ad
 2. Play the ad
 3. toggle the orientation while the ad plays",- video orientation toggles between landscape view and portrait view by the device orientation change,Functional,2,1,1
Play Ad - Progress bar,BSFN-50,progress bar while the video is playing,progress bar while the video is playing,,all ad types,"1. load ad
 2. Play the ad
 3. observe the video",- progress bar syncs with the video play progress,Basic,2,1,1
Play Ad - Progress bar,BSFN-51,progress bar sync after device feature interruptions,"progress bar sync when
 - the device is locked and unlocked
 - background/foreground
 - pause and resume by CTA click",,all ad types,"1. load ad
 2. Play the ad
 3. observe the video
 4. interrupt the video playback by device lock, background, cta_overlay click.
 5. relaunch the video playback",- progress bar syncs with the video play progress when it is relaunched,interruption,2,1,1
Play Ad - Close Video,BSFN-52,close button with showClose 0,"close button - ""showClose"" : 0","""showClose"" : 0",all ad types,"1. load each ad
 2. play each ad
 3. observe Close button","- display ""Close"" button when the video starts",Boundary,2,1,1
Play Ad - Close Video,BSFN-53,close button with showClose less than the length of video,"close button - ""showClose"" : < the length of video","""showClose"" : < the length of video",all ad types,"1. load each ad
 2. play each ad
 3. observe Close button","- display ""Close"" button after the defined time",Functional,2,1,1
Play Ad - Close Video,BSFN-54,close button with showClose longer than the length of video,"close button - ""showClose"" : > the length of video","""showClose"" : > the length of video",all ad types,"1. load each ad
 2. play each ad
 3. observe Close button","- ""close"" button never show",Functional,2,1,1
Play Ad - Close Video,BSFN-55,incentized Close,incentized Close,incentized enabled,legacy ad,"1. load the incentivized ad
 2. play the ad
 3. observe Close button
 4. click close button on Video",- it pops up the alert message with the predefined incentized text,Functional,2,1,1
Plad Ad - FlexView,BSFN-56,FlexView Timeout - none,to verify FlexView Timeout - none,set FlexView Timeout to none,FlexView,"1. load the FlexView Ad
 2. Play the ad",the ad does not time out,Boundary,2,1,1
Plad Ad - FlexView,BSFN-57,FlexView Timeout - shorter than vidoe length,to verify FlexView Timeout - shorter than vidoe length,set FlexView Timeout to shorter than the video length,FlexView,"1. load the FlexView Ad
 2. Play the ad",the ad dismisses during the video is playing,Functional,2,1,1
Plad Ad - FlexView,BSFN-58,FlexView Timeout - interrupt before the timeout,to verify FlexView Timeout - interrupt before the timeout,set FlexView Timeout,FlexView,"1. load the FlexView Ad
 2. Play the ad
 3. Click CTA button before the timeout",the ad dismisses when CTA is clicked before time out,Interruption,2,1,1
Play Ad - Moat,BSFN-59,MOAT enabled,MOAT enabled,Set MOAT enabled in campaign,legacy ad,"1. load ad with MOAT enabled
 2. play the ad
 3. observe moat log and moat site update","/ads respnonse shows 
 ""tpat""-> ""moat"" -> ""is_enabled"": true
 MOAT log is generated",Functional,2,1,1
Play Ad - Moat,BSFN-60,MOAT disabled,MOAT disabled,Set MOAT disabled in campaign,legacy ad,"1. load ad with MOAT enabled
 2. play the ad
 3. observe moat log and moat site update","/ads respnonse shows 
 ""tpat""-> ""moat"" -> ""is_enabled"": false
 MOAT log is not generated",Functional,2,1,1
Play Ad - Moat,BSFN-61,MOAT track - audio levels,MOAT track - audio levels,Set MOAT enabled in campaign,legacy ad,"1. load ad with MOAT enabled
 2. play the ad
 3. change the volume of the video
 3. observe moat log and moat site update",the volume level in MOAT log is updated,Functional,2,1,1
Play Ad - Moat,BSFN-62,MOAT track - video start,MOAT track - video start,Set MOAT enabled in campaign,legacy ad,"1. load ad with MOAT enabled
 2. play the ad
 3. observe moat log and moat site update",MOAT log contains the video start log,Functional,2,1,1
Play Ad - Moat,BSFN-63,MOAT track - video quartile levels,MOAT track - video quartile levels,Set MOAT enabled in campaign,legacy ad,"1. load ad with MOAT enabled
 2. play the ad
 3. observe moat log and moat site update",MOAT log updates video quartile level,Functional,2,1,1
Play Ad - incentivized ad,BSFN-64,the default incentivized text,to verify the default incentivized text,"Set incentivized title, button and message in platform",incentivized ad of both legacy and MRAID,"1. load the incentivized ad
 2. while the video is played, close the video
 3. observe the popup
 4. click ""continue"" or ""close""","the incentivized popup is displayed with continue and close button
 all text strings in the popup match with the information in /ads payload
 when continue is clicked, the vidoe resumes at the point when the video playback is interrupted
 when close is clicked, the video playback is closed",Basic,2,1,1
Play Ad - incentivized ad,BSFN-65,the custom incentivized text,to verify the custom incentivized text,"Set incentivized title, button and message in platform
 update the title, button, and message through option",incentivized ad of both legacy and MRAID,"1. load the incentivized ad
 2. update the incentivized contents information through Option
 2. while the video is played, close the video","the incentivized popup is displayed with continue and close button
 all text strings in the popup match with the updated contents through Option",Functional,2,1,1
Play Ad - incentivized ad,BSFN-66,the incentivized text with invalid characters,to verify the incentivized text with invalid characters,"Set incentivized title, button and message in platform
 update some of the title, button, and message with invalid characters through option",incentivized ad of both legacy and MRAID,"1. load the incentivized ad
 2. update the incentivized contents information as invalid character through Option
 2. while the video is played, close the video",Need to find out the invalid character and what's the UI response,Negative,2,1,1
Play Ad - incentivized ad,BSFN-67,incentivized popup interruptions,"to verify incentivized popup interruption
 - background, device lock","Set incentivized title, button and message in platform",incentivized ad of both legacy and MRAID,"1. load the incentivized ad
 2. while the video is played, close the video
 3. observe the popup displayed
 4. lock the device
 5. unlock the device
 6. the ad is relaunched
 7. click ""continu"" or ""close""
 8. repeat step 1 to 7 with background interruption","incentivized popup must be persisted when it returns from the interruption
 when continue is clicked, the vidoe resumes at the point when the video playback is interrupted
 when close is clicked, the video playback is closed",interruption,2,1,1
Play Ad - rewarded Ad,BSFN-68,rewarded scenario before the video reaches to 75%,to verify rewarded scenario before the video reaches to 75%,rewarded ads,rewarded ad of both legacy and MRAID,"1. load the rewarded ad
 2. play the ad
 3. click cta_overlay clickable area before the video playback reaches to 75%","It pauses the video and open app store/storekit/playstore/browser
 the video resume when it moves back to the ad",Functional,2,1,1
Play Ad - rewarded Ad,BSFN-69,rewarded scenario after the video reaches to 75%,to verify rewarded scenario after the video reaches to 75%,rewarded ads,rewarded ad of both legacy and MRAID,"1. load the rewarded ad
 2. play the ad
 3. click cta_overlay clickable area after the video playback passes 75%",it closes the video and move to Endcard,Functional,2,1,1
Play Ad - MREC,BSFN-70,the UI element of Video,to verify the UI element of Video,Set dimension as W X H = 300 X 250,MREC,1. Play ad,Video is displayed in the right dimension,Basic,2,1,1
Play Ad - MREC,BSFN-71,FlexFeed configurations,"to verify FlexFeed ad play with the following conditions
 - no dimension is provided
 - only one dimension is provided
 - two valid dimensions are provided
 - wrong size dimensions is provided",None,"MREC, FlexFeed","1. load the ad
 2. open Options to set the dimension
 3. set the dimension at each condition
 - no dimension (W X H = empty X empty)
 - only one correct dimension is provided (W X H = 300 X empty)
 - two valid dimensions are provided (W X H = 300 X 250)
 - wrong dimension is provided (W X H = 300 X 200)
 4. Save the option
 3. play the ad","Only if the dimension sets as W X H = 300 X 250, it plays the MREC ad successfully. Others pops up error message without playing the ad",Negative,2,1,1
Play Ad - MREC,BSFN-72,the MREC ad keeps reloading after the ad is closed,to verify the MREC ad keeps reloading after the ad is closed,"Set dimension as W X H = 300 X 250
 Non auto-cacheable placement",MREC,,"The ad is closed successfully 
 the ad is auto-cached whatever the auto-cacheable sets YES or NO",Functional,2,1,1
Play Ad - MREC,BSFN-73,the MREC ad reloading multiple times,to verify the MREC ad reloading multiple times,"Set dimension as W X H = 300 X 250
 Non auto-cacheable placement",MREC,"1. Play ad
 2. close the ad","The ad is closed successfully 
 the ad is auto-cached whenever the ad is played",Functional,2,1,1
Play Ad - MREC,BSFN-74,the auto loaded MREC is cleared after re-initialization,to verify the auto loaded MREC is cleared after re-initialization,"Set dimension as W X H = 300 X 250
 Non auto-cacheable placement",MREC,"1. Play ad
 2. close the ad
 3. observe the ad is auto-cached
 4. kill the app
 5. re-initialize the app",the cached MREC ad is cleared and not playable,Functional,2,1,1
Play Ad - MREC,BSFN-75,MREC ad play after device feature interruption,"to verify the ad play when it returns from interruption 
 - the device is locked and unlocked
 - background/foreground
 - pause and resume by CTA click",Set dimension as W X H = 300 X 250,MREC,"1. Play ad
 2. interrupt the ad playback
 - lock/unlock the device and relaunch the ad
 - put the ad in background and bring it back to foreground
 - click CTA button to App Store and return to Ad","whenever the ad video play is resumed, the ad plays successfully",interruption,2,1,1
Play Ad - FlexFeed Collection View,BSFN-76,the UI element of Video on collection view,to verify the UI element of Video on collection view,"Set dimension as W X H = 300 X 250
 Collection View",FlexFeed,"1. load FlexFeed Ad
 2. Play the FlectFeed Ad on Collection View",Video is displayed in the right dimension on collection view,Functional,2,1,1
Play Ad - FlexFeed Collection View,BSFN-77,the orientation of Video on collection view,to verify the orientation of Video on collection view,"Set dimension as W X H = 300 X 250
 Collection View",FlexFeed,"1. load FlexFeed Ad
 2. Play the FlectFeed Ad on Collection View
 3. change the orientation",Video is displayed on collection view when the orientation is changed,Functional,2,1,1
Play Ad - FlexFeed Collection View,BSFN-78,FlexFeed ad play after device interruption,"to verify the ad play when it returns from interruption 
 - the device is locked and unlocked
 - background/foreground
 - pause and resume by CTA click","Set dimension as W X H = 300 X 250
 Collection View",FlexFeed,"1. load FlexFeed Ad
 2. Play the FlectFeed Ad on Collection View
 3. interrupt the ad by each condition
 4. relaunch the ad","whenever the ad video play is resumed, the ad plays successfully on collection view",interruption,2,1,1
Play Ad - device interruption,BSFN-79,video playback interruption by usb charger plug in,to verify video playback interruption by usb charger plug in,USB charger cable is ready,any,"1. load an ad and play the video
 2. plug in the USB charger cable at video playback and Endcard",USB charger status update should not affect on ad playback,interruption,2,1,1
Play Ad - device interruption,BSFN-80,video playback interruption by usb charger plug out,to verify video playback interruption by usb charger plug out,USB charger cable is ready,any,"1. plug in the USB charger cable
 2. load an ad and play the video
 3. unplug the USB charger cable at video playback and Endcard",USB charger status update should not affect on ad playback,interruption,2,1,1
CTA response on Endcard,BSFN-81,CTA response - legacy (two page ad),to verify CTA response - legacy (two page ad),"CTA url with 
 - app id (storekit)
 - http url with app id(appstore)
 - normal url (browser)",legacy,"1. load the legacy ad
 2. play the ad
 3. click cta_overlay clickable area
 4. repeat with each type of CTA Url (app id, http url with app id, normal url)","open storekit, appstore, browser by each type of CTA url
 resume the video when it returns to the ad",Functional,2,1,1
CTA response on Endcard,BSFN-82,"CTA response - Flexview, Flexfeed, Mraid (single page ad)","to verify CTA response - Flexview, Flexfeed, Mraid (single page ad)","CTA url with 
 - app id (storekit)
 - http url with app id(appstore)
 - normal url (browser)","Flexview, FlexFeed, MRAID, MREC","1. load the dynamic template ads
 2. play the ad
 3. click CTA button
 4. repeat with each type of CTA Url (app id, http url with app id, normal url)","open storekit, appstore, browser by each type of CTA url",Functional,2,1,1
CTA response on Endcard,BSFN-83,CTA response on EndCard,to verify CTA response on EndCard,"CTA url with 
 - app id (storekit)
 - http url with app id(appstore)
 - normal url (browser)","legacy, mraid","1. load the legacy ad
 2. play the ad
 3. move to EndCard
 3. click CTA button
 4. repeat with each type of CTA Url (app id, http url with app id, normal url)","open storekit, appstore, browser by each type of CTA url",Functional,2,1,1
CTA response on Endcard,BSFN-84,the ad without postBundle (EndCard),to verify the ad without postBundle (EndCard),set Creatives without EndCard,legacy ad,"1. load an legacy ad without EndCard (No postbundle)
 2. play the ad
 3. wait for play plays in full or close the video",it displays Appstore without showing Endcard,Negative,2,1,1
Report Ad,BSFN-85,"the stored /report_ad by airplane mode, network disable","to verify the stored /report_ad by airplane mode, network disable",,all ad types,need to find out the steps to test,"- No /report_ad is called with network disabled
 - stored /report_ad is called after network is restored",Interruption,2,1,1
Report Ad,BSFN-86,the contents of userActions and clickedThrough,to verify the contents of userActions and clickedThrough,,all ad types,"1. load ad
 2. play ad
 3. generate all userActions - mute/unmute multiple times, close video, click CTA
 4. Close the ad
 5. Observe /report_ad","all generated userActions are recorded in ""userActions"" and ""clickedThrough""
 - download, cta, mute, unmute, video_close, ...",Functional,2,1,1
Report Ad,BSFN-87,the consistency of userActions and clickedThrough contents,to verify the consistency of userActions and clickedThrough contents,,all ad types,"1. load ad
 2. play ad
 3. try multiple CTA clickable area click on video
 4. Close the ad
 5. Observe /report_ad","the same number of ""cta"" is included in ""userActions"" and ""clickedThrough""
 /report_ad request payload must have ""userAction"" information
 ""userAction"" and ""clickThrough"" must be matched",Functional,2,1,1
